id;schicht;dt;bot;hoehe;wuchsform;standort;licht;feuchte;boden;etabliert_seit;herkunft;insektenwert;klimawert;bewertung;hinweis;quellen
501;Baum;Gewöhnliche Robinie;Robinia pseudoacacia;12-30;Hochstamm;trocken bis normal;Sonne;trocken bis normal;sandig bis lehmig;~1600;Nordamerika;4;5;bewährt;Bienenweide, Stickstoffbinder, stadtklimafest, Wurzelbrut beachten;Baum des Jahres 2020
502;Baum;Roteiche;Quercus rubra;15-25;Hochstamm;trocken bis normal;Sonne;trocken bis feucht;sandig bis lehmig;~1800;Nordamerika;3;5;bewährt;Klimaresilient, Herbstfärbung, schwächer für Insekten als heimische Eichen;etabliert in Parks
503;Baum;Japanischer Schnurbaum;Styphnolobium japonicum;12-18;Hochstamm;trocken bis normal;Sonne;normal;sandig bis lehmig;~1880;Ostasien;4;4;bewährt;Bienenweide, später blühend (Juni-Juli), Erdnussduft bei Laub;klimaresilient
504;Baum;Duftesche;Tetradium daniellii;8-12;Hochstamm;trocken bis normal;Sonne bis Halbschatten;normal bis feucht;humos bis lehmig;~1890;Korea;5;4;bewährt;Bienenweide, intensiver Duft, letzte Trachtquelle im September;etabliert in Süddeutschland
505;Strauch;Forsythie;Forsythia intermedia;2-3;Strauch;variabel;Sonne bis Halbschatten;normal;neutral;~1850;Ostasien/Hybrid;1;3;fragwürdig;Optisch attraktiv, aber ökologisch wertlos (keine Nektar/Pollen), nur als Deko-Element;häufig gepflanzt, nicht empfohlen
506;Strauch;Schmetterlingsstrauch;Buddleja davidii;2-4;Strauch;trocken bis normal;Sonne;trocken bis normal;sandig bis lehmig;1896;China;3;5;problematisch;Schmetterlingsmagnet, aber invasiv in manchen Regionen (UK, CH), Selbstaussaat beachten;invasiv in feuchten Klimaten
507;Strauch;Schneebeere;Symphoricarpos albus;1.5-2.5;Niedrig;normal;Sonne bis Halbschatten;normal bis feucht;neutral bis sauer;~1880;Nordamerika;3;3;bewährt;Glockenblüten Juni-Sept (gute Nektarquelle), weiße Beeren Winter, pflegeleicht;etabliert, nicht invasiv
508;Halbstrauch;Mahonie;Mahonia aquifolium;1-1.5;Niedrig;trocken bis normal;Halbschatten bis Vollschatten;normal;sandig bis lehmig;~1850;Nordamerika;2;2;bewährt;Immergrün, gelbe Blüten März-Mai, blaue Beeren, aber scharf gezähnte Blätter;Vorsicht in Naturschutzgebieten
509;Bodendecker;Efeu (große Sorte);Hedera helix 'Variegata';20-30;Bodendecker;variabel;Schatten bis Halbschatten;normal bis feucht;humos;natürlicherweise heimisch, aber Sortenzucht seit 1800er;südeuropa/kultiviert;2;2;bewährt;Immergrün, weiß-grün gefleckt, Winterschutz, alte Sorte;Sorte nicht heimisch
510;Bodendecker;Immergrün;Vinca minor;15-20;Bodendecker;trocken bis normal;Halbschatten bis Vollschatten;normal bis trocken;humos bis lehmig;~1000;südeuropa;1;1;problematisch;**Nicht heimisch** – Archäophyt (Klostergartenflüchting), aber branchenweit als heimisch verkauft;Warnung: verwildernd
511;Gras;Chinaschilf;Miscanthus sinensis;150-200;Horstgras;normal bis trocken;Sonne;normal;sandig bis lehmig;~1920;Ostasien;1;4;fragwürdig;Strukturgeber im Winter, aber Selbstaussaat in warmen Jahren, nicht invasiv in Mitteleuropa;Imkerforum kontrovers
512;Strauch;Schneeheide;Erica carnea;20-40;Niedrig;trocken bis normal;Sonne bis Halbschatten;trocken;sauer;~1850;Alpen;2;4;bewährt;Frühjahrsblüher (Jan-März), nie heimisch, aber etabliert, nicht invasiv;alternative zu Besenheide
513;Strauch;Feuerdorn;Pyracantha coccinea;1.5-3;Strauch;trocken bis normal;Sonne;trocken bis normal;sandig bis lehmig;~1900;Südeuropa;2;4;fragwürdig;Orange-rote Beeren Herbst-Winter, aber mediterraner Ursprung, nur südexponiert winterhart;nicht zuverlässig hart
514;Strauch;Silber-Hartriegel;Cornus alba 'Sibirica';2-3;Strauch;trocken bis feucht;Sonne bis Halbschatten;normal;neutral;~1880;Sibirien;2;3;bewährt;Rote Winterastfärbung, cremefarbene Blüten, pflegeleicht, nicht invasiv;etabliert, harmlos
515;Staude;Kalifornischer Silberblatt;Arthemisia ludoviciana;80-120;Staude;trocken;Sonne;trocken;sandig;~1920;Nordamerika;1;5;fragwürdig;Strukturplanze, silbriges Laub, aber schwach ökologisch, Selbstaussaat;in trockenen Gärten etabliert
516;Strauch;Gewöhnliche Berberitze;Berberis vulgaris;1-2;Niedrig;trocken bis normal;Sonne;trocken bis normal;sandig;natürlicherweise heimisch, aber Sorte seit 1800er;südeuropa/kultiviert;1;2;fragwürdig;**Achtung: Berberis thunbergii (Japanische Berberitze) ist invasiv, nur B. vulgaris verwenden;Verwechslungsgefahr
517;Staude;Himalaya-Clematis;Clematis x jackmanii;200-300;Kletterer;normal;Sonne bis Halbschatten;normal;humos;~1870;Asien/Hybrid;1;2;fragwürdig;Großblütige Sorte, Juli-Sept, aber schwache Ökologie, Selbstaussaat;etabliert in Gärten
518;Staude;Japanische Anemone;Anemone x japonica;80-100;Staude;normal;Halbschatten;normal bis feucht;humos;~1850;Japan/Hybrid;1;2;bewährt;Sept-Oktober-Blüter, später Pollen, aber ökologisch schwach;etabliert, keine Invasivität
519;Strauch;Spindelstrauch;Euonymus europaeus 'Red Cascade';2-3;Strauch;normal;Sonne bis Halbschatten;normal;neutral;Sorte seit 1900er;Europa/kultiviert;1;2;bewährt;Herbstfärbung, rote Früchte, aber nur Sorte nicht heimisch;harmlos
520;Baum;Erle;Alnus glutinosa 'Pyramidalis';15-20;Hochstamm;feucht bis nass;Sonne bis Halbschatten;feucht bis nass;lehmig;Art heimisch, Sorte seit 1920er;Europa/kultiviert;3;3;bewährt;Säulenform, Stickstoffbindung, an Gewässern, aber nur Sorte neu;pflegeleicht
521;Halbstrauch;Goldblatt-Spiere;Spiraea japonica 'Golden Fleece';80-100;Niedrig;trocken bis normal;Sonne bis Halbschatten;normal;sandig bis lehmig;~1880;Japan/Sorte;1;2;fragwürdig;Gelbes Laub, Juni-Juli-Blüten, aber ökologisch wertlos;Farbe ohne Funktion
522;Gras;Japanisches Blütenrohrgras;Hakonechloa macra;40-60;Horstgras;trocken bis normal;Halbschatten bis Vollschatten;normal;humos;~1900;Japan;0;1;bewährt;Schattentoleranter, hängender Wuchs, rot gefärbt 'Aureola', aber ökologisch minimal;elegant, harmlos
523;Staude;Hohes Silberblatt;Artemisia ludoviciana 'Valerie Finnis';60-80;Staude;trocken;Sonne;trocken;sandig;~1980;Nordamerika/Sorte;0;5;fragwürdig;Silbriges Laub, Strukturgeber, aber Selbstaussaat in warmen Jahren;moderner Trend, keine Invasivität
524;Strauch;Ligusterrose;Philadelphus 'Virginal';2-3;Strauch;normal;Sonne bis Halbschatten;normal;neutral;~1880;Östliche Kultivare;1;2;bewährt;Weiße gefüllte Blüten, Juni, Duft, aber ohne Insektenwert (gefüllt);historisch etabliert
525;Bodendecker;Traubenmispel;Cotoneaster dammeri;20-40;Bodendecker;trocken bis normal;Sonne bis Halbschatten;trocken bis normal;sandig bis lehmig;~1900;Ostasien;1;3;problematisch;Immergrün, weiße Blüten, rote Beeren, aber invasiv in manchen Ländern;Vogelausbreitung
526;Staude;Japanische Silberblatt-Segge;Carex oshimensis 'Evergold';20-30;Segge;trocken bis normal;Halbschatten;normal;humos;~1980;Japan;0;1;bewährt;Immergrüne Segge, Strukturgeber, aber ökologisch minimal;moderne Gestaltung
527;Strauch;Blutjohanisbeere;Ribes sanguineum;1.5-2;Strauch;normal bis feucht;Sonne bis Halbschatten;normal;neutral bis sauer;~1820;Westküste Nordamerika;2;2;bewährt;Rosa-rote Blüten April, Insektenmagnet (überraschend), pflegeleicht;unterschätzt
528;Staude;Perlmuttstrauch;Leucothoe fontanesiana;1.5-2;Halbstrauch;normal bis feucht;Halbschatten;feucht;sauer;~1900;Südostamerika;1;2;bewährt;Immergrün, weiße Blüten April-Mai, aber südostamerischer Ursprung;in Moorgärten etabliert
529;Staude;Färberinella;Geum chiloense 'Lady Stratheden';40-60;Staude;normal;Sonne bis Halbschatten;normal;neutral;~1900;Chile/Hybrid;1;2;fragwürdig;Orange gefüllte Blüten, Juni-Sept, aber ökologisch schwach;ornamentale Züchtung
530;Strauch;Kanadische Felsenbirne;Amelanchier lamarckii;4-6;Strauch;normal;Sonne bis Halbschatten;normal bis feucht;neutral bis sauer;~1870;Nordamerika;2;2;problematisch;**Nicht heimisch** – häufig statt A. ovalis gepflanzt, aber etabliert; Verwechslungsgefahr;Warnung in Verkauf
